------------------
Parameters [tc: 0.001 ]
day	 Daily Return	 Total return
575 	 1.01075970003261 	 1.85869779520834
576 	 1 	 1.85869779520834
577 	 1.01064516129032 	 1.8784839330283
578 	 1 	 1.8784839330283
579 	 1 	 1.8784839330283
580 	 1.0427705075008 	 1.95882764417602
581 	 1 	 1.95882764417602
582 	 1.03244566880931 	 2.02238311717346
583 	 1.05632967684554 	 2.13630330462172
584 	 1 	 2.13630330462172
585 	 0.963513892786977 	 2.05835791320975
586 	 1.01951645790853 	 2.09852976878361
587 	 1.01914285714286 	 2.13870162435747
588 	 1.07008690776563 	 2.28859660784201
589 	 1.04715745349751 	 2.39652099595088
590 	 0.954966224668501 	 2.28859660784201
591 	 1.00864553314121 	 2.30838274566197
592 	 1.02935064935065 	 2.37613527819699
593 	 1.00933636134242 	 2.3983197357527
594 	 1 	 2.3983197357527
595 	 1 	 2.3983197357527
596 	 0.99575 	 2.38812687687575
597 	 0.995982927441627 	 2.37853359793274
598 	 1 	 2.37853359793274
599 	 0.998235442399798 	 2.37433653839517
600 	 1.00176767676768 	 2.37853359793274
601 	 1 	 2.37853359793274
602 	 1 	 2.37853359793274
603 	 0.998991681371313 	 2.37613527819698
604 	 1.1077466565733 	 2.63215590998858
605 	 0.949202733485194 	 2.49844958472037
606 	 1.03191744660427 	 2.57819371593415
607 	 1.02325581395349 	 2.63815170932797
608 	 1.01818181818182 	 2.68611810404302
609 	 1 	 2.68611810404302
610 	 0.9671875 	 2.59797985375411
611 	 1.00784675744288 	 2.61836557150801
612 	 1.02289901534234 	 2.67832356490182
613 	 0.991717036042086 	 2.65613910734611
614 	 1.00835214446953 	 2.67832356490182
615 	 0.99238862771435 	 2.65793784714793
616 	 1.01127904353711 	 2.68791684384484
617 	 0.974124470220834 	 2.61836557150801
618 	 1.06709411495306 	 2.79404249215189
619 	 1.0156652360515 	 2.83781182732938
620 	 1.05577857595605 	 2.99610092988906
621 	 1.00720432259356 	 3.01768580751083
622 	 1.01927279952315 	 3.07584506110283
623 	 1.00721247563353 	 3.09802951865855
624 	 1.01277336946003 	 3.13760179429847
625 	 0.993693865851328 	 3.11781565647851
626 	 1.02557692307692 	 3.19755978769228
627 	 0.953872117007313 	 3.05006312394349
628 	 1.00904265775506 	 3.07764380090465
629 	 1.01948178453146 	 3.13760179429847
630 	 1.00649722912287 	 3.15798751205236
631 	 1.00626542623885 	 3.17777364987232
632 	 0.998679245283019 	 3.17357659033476
633 	 1.00755715095409 	 3.19755978769228
634 	 1.00187511719482 	 3.20355558703167
635 	 1.03499906419614 	 3.3156770346781
636 	 1.0126582278481 	 3.35764763005378
637 	 1.01482142857143 	 3.40741276457064
638 	 1 	 3.40741276457064
639 	 1.02005982755587 	 3.4757648770396
640 	 0.951699154735208 	 3.30788249553691
641 	 1.0331702011963 	 3.41760562344759
642 	 0.997719298245614 	 3.4098110843064
643 	 0.996483207314929 	 3.39781948562763
644 	 1.01111699311805 	 3.43559302146574
645 	 0.994764397905759 	 3.41760562344759
646 	 1.01754385964912 	 3.47756361684141
647 	 0.982758620689655 	 3.41760562344759
648 	 1.02754385964912 	 3.51173967307589
649 	 1.05856240396107 	 3.71739559041668
650 	 1.02145161290323 	 3.79713972163046
651 	 0.986420337912522 	 3.74557584731177
652 	 0.972146630382584 	 3.64124893880653
653 	 1.00230528569076 	 3.64964305788166
654 	 1.00755708887794 	 3.67722373484282
655 	 0.989238545573129 	 3.6376514592029
656 	 1.01087852315807 	 3.67722373484282
657 	 0.975542149029838 	 3.58728674475209
658 	 1 	 3.58728674475209
659 	 1.02456961390607 	 3.67542499504101
660 	 0.99510603588907 	 3.65743759702286
661 	 0.983606557377049 	 3.59747960362904
662 	 1.0055 	 3.617265741449
663 	 1.03315100281784 	 3.73718172823664
664 	 1.00545483715707 	 3.75756744599054
665 	 1.02329663315781 	 3.84510611634551
666 	 0.997972867612662 	 3.83731157720431
667 	 0.97921875 	 3.75756744599054
668 	 1 	 3.75756744599054
669 	 1.00526567735759 	 3.7773535838105
670 	 1.01063492063492 	 3.81752543938435
671 	 1.02088895869326 	 3.89726957059813
672 	 1.02569230769231 	 3.99739941956581
673 	 1 	 3.99739941956581
674 	 1 	 3.99739941956581
675 	 1 	 3.99739941956581
676 	 1 	 3.99739941956581
677 	 0.986950652467377 	 3.94523596531318
678 	 0.990425531914894 	 3.90746242947508
679 	 1 	 3.90746242947508
680 	 1.00153444836581 	 3.91345822881446
681 	 0.998927531791022 	 3.90926116927689
682 	 0.99739263803681 	 3.89906831039994
683 	 1.06873750576657 	 4.16708054087031
684 	 1.04071942446043 	 4.33676166217481
685 	 0.998202682151251 	 4.32896712303362
686 	 0.987950138504155 	 4.27680366878099
687 	 1.01121547735876 	 4.32477006349605
688 	 0.981976985997504 	 4.24682467208409
